Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
04/01/2023,13350,13600,13800,13250,7.89M,1.91%
05/01/2023,13850,13450,13950,13100,9.74M,3.75%
06/01/2023,13250,13800,13950,13100,8.65M,-4.33%
09/01/2023,13100,13650,13650,13100,7.65M,-1.13%
10/01/2023,13500,13100,13700,12600,9.01M,3.05%
11/01/2023,13900,13700,14400,13600,13.43M,2.96%
12/01/2023,14150,14000,14300,13800,6.48M,1.80%
13/01/2023,14050,14450,14700,13900,7.79M,-0.71%
16/01/2023,14500,14150,14700,13950,9.38M,3.20%
17/01/2023,15500,14750,15500,14600,16.06M,6.90%
18/01/2023,15450,15700,15800,15300,8.39M,-0.32%
19/01/2023,15500,15350,15650,15100,11.76M,0.32%
27/01/2023,15750,15500,16000,15050,13.39M,1.61%
30/01/2023,15750,15850,16400,15400,12.15M,0.00%
31/01/2023,15900,15600,15900,15450,9.63M,0.95%
01/02/2023,14800,15950,16300,14800,26.77M,-6.92%
02/02/2023,14100,14800,14950,14050,11.99M,-4.73%
03/02/2023,14100,14200,14550,13700,8.19M,0.00%
06/02/2023,14100,14000,14200,13700,6.13M,0.00%
07/02/2023,13150,14100,14400,13150,13.33M,-6.74%
08/02/2023,14000,13400,14050,12850,11.11M,6.46%
09/02/2023,13650,14000,14200,13650,4.43M,-2.50%
10/02/2023,13500,13650,13900,13300,6.52M,-1.10%
13/02/2023,13500,13350,13700,12900,7.33M,0.00%
14/02/2023,13800,13650,14050,13600,6.11M,2.22%
15/02/2023,14100,13800,14450,13700,9.54M,2.17%
16/02/2023,15050,14300,15050,14100,13.95M,6.74%
17/02/2023,15200,15100,15350,14900,10.86M,1.00%
20/02/2023,15750,15350,15800,15300,13.92M,3.62%
21/02/2023,15300,15900,15950,15300,13.90M,-2.86%
22/02/2023,15150,14900,16000,14900,20.54M,-0.98%
23/02/2023,15600,15050,15600,14500,13.39M,2.97%
24/02/2023,15000,15700,15750,14900,7.63M,-3.85%
27/02/2023,14200,14800,14800,14200,10.33M,-5.33%
28/02/2023,14150,14500,14650,13950,6.48M,-0.35%
01/03/2023,15100,14150,15100,13950,8.22M,6.71%
02/03/2023,15350,15300,15700,15100,10.09M,1.66%
03/03/2023,15350,15500,16150,15350,18.75M,0.00%
06/03/2023,15500,15800,16000,15000,8.15M,0.98%
07/03/2023,16500,15600,16550,15500,24.60M,6.45%
08/03/2023,16700,16350,16700,16250,13.32M,1.21%
09/03/2023,16650,16800,17100,16650,14.45M,-0.30%
10/03/2023,16700,16400,16700,16100,14.94M,0.30%
13/03/2023,16400,16500,16800,16200,8.54M,-1.80%
14/03/2023,15450,16400,16400,15350,21.20M,-5.79%
15/03/2023,16350,15950,16350,15800,8.92M,5.83%
16/03/2023,15750,15950,16250,15650,9.03M,-3.67%
17/03/2023,15700,16000,16100,15600,6.59M,-0.32%
20/03/2023,15150,15600,15900,15100,9.61M,-3.50%
21/03/2023,15800,15350,15800,15000,8.65M,4.29%
22/03/2023,15600,15950,15950,15600,4.70M,-1.27%
23/03/2023,15900,15400,16000,15350,7.34M,1.92%
24/03/2023,15900,16050,16200,15750,7.87M,0.00%
27/03/2023,16300,15900,16400,15750,9.86M,2.52%
28/03/2023,16050,16500,16500,16050,8.42M,-1.53%
29/03/2023,16400,16050,16600,16050,9.10M,2.18%
30/03/2023,15700,16500,16650,15700,26.11M,-4.27%
31/03/2023,15400,15600,15900,15000,20.45M,-1.91%
03/04/2023,15150,15450,15650,15100,14.41M,-1.62%
04/04/2023,15300,15050,15450,15050,7.83M,0.99%
05/04/2023,15450,15300,15500,15200,9.15M,0.98%
06/04/2023,15150,15500,15600,15150,13.64M,-1.94%
07/04/2023,14800,15100,15250,14700,12.32M,-2.31%
10/04/2023,14450,14650,14950,14400,12.80M,-2.36%
11/04/2023,14900,14400,14900,14400,5.87M,3.11%
12/04/2023,14700,14900,15000,14700,4.07M,-1.34%
13/04/2023,14600,14750,14800,14500,4.00M,-0.68%
14/04/2023,14650,14750,14950,14600,6.85M,0.34%
17/04/2023,14800,14600,14900,14600,2.53M,1.02%
18/04/2023,14900,14900,15000,14800,3.26M,0.68%
19/04/2023,14650,14900,15000,14650,3.68M,-1.68%
20/04/2023,14650,14650,14700,14500,3.07M,0.00%
21/04/2023,14150,14600,14600,14050,7.16M,-3.41%
24/04/2023,13850,14150,14200,13800,5.18M,-2.12%
25/04/2023,14100,14000,14500,13900,3.83M,1.81%
26/04/2023,14800,14100,14800,14000,5.07M,4.96%
27/04/2023,14500,14800,14850,14500,2.54M,-2.03%
28/04/2023,14550,14500,14650,14450,3.12M,0.34%
04/05/2023,14400,14500,14700,14300,3.35M,-1.03%
05/05/2023,14500,14400,14750,14300,3.18M,0.69%
08/05/2023,14500,14700,14700,14500,2.76M,0.00%
09/05/2023,15050,14700,15100,14600,11.87M,3.79%
10/05/2023,15150,15050,15200,14950,4.72M,0.66%
11/05/2023,15200,15200,15500,15050,8.51M,0.33%
12/05/2023,15400,15200,15600,15200,7.82M,1.32%
15/05/2023,15000,15600,15600,15000,8.95M,-2.60%
16/05/2023,14800,15000,15150,14700,5.61M,-1.33%
17/05/2023,14500,14800,14900,14500,7.63M,-2.03%
18/05/2023,14550,14550,14650,14400,5.89M,0.34%
19/05/2023,14600,14550,14750,14500,3.72M,0.34%
22/05/2023,15250,14600,15300,14600,8.64M,4.45%
23/05/2023,15100,15300,15400,15000,5.21M,-0.98%
24/05/2023,14800,15200,15200,14800,6.70M,-1.99%
25/05/2023,14850,14700,14950,14600,4.06M,0.34%
26/05/2023,14700,14900,14900,14600,4.75M,-1.01%
29/05/2023,15150,14800,15200,14650,6.98M,3.06%
30/05/2023,15500,15250,15600,15150,16.87M,2.31%
31/05/2023,15500,15600,15800,15400,12.53M,0.00%
01/06/2023,15350,15500,15550,15050,9.53M,-0.97%
02/06/2023,15850,15500,16100,15350,15.21M,3.26%
05/06/2023,16250,16300,16650,16000,13.97M,2.52%
06/06/2023,16400,16200,16550,16050,10.30M,0.92%
07/06/2023,16700,16750,17150,16650,13.09M,1.83%
08/06/2023,16300,16700,16850,16300,16.30M,-2.40%
09/06/2023,16700,16400,16700,16150,10.67M,2.45%
12/06/2023,16500,16750,16800,16100,10.79M,-1.20%
13/06/2023,17450,16600,17600,16400,21.31M,5.76%
14/06/2023,17100,17500,17500,17050,8.97M,-2.01%
15/06/2023,16750,17100,17150,16650,13.48M,-2.05%
16/06/2023,16800,16900,17200,16650,15.75M,0.30%
19/06/2023,16400,16800,16800,16400,7.32M,-2.38%
20/06/2023,16950,16400,16950,16400,5.81M,3.35%
21/06/2023,17700,16900,17750,16850,17.54M,4.42%
22/06/2023,17700,17800,17900,17600,11.37M,0.00%
23/06/2023,18200,17800,18250,17700,16.01M,2.82%
26/06/2023,18100,18200,18400,17500,12.45M,-0.55%
27/06/2023,18050,18250,18250,17750,7.50M,-0.28%
28/06/2023,18150,18050,18350,18000,10.93M,0.55%
29/06/2023,17250,18150,18200,17250,14.87M,-4.96%
30/06/2023,17250,17150,17350,17100,5.68M,0.00%
03/07/2023,17200,17400,17400,17200,4.94M,-0.29%
04/07/2023,17500,17250,17500,17050,10.70M,1.74%
05/07/2023,17700,17650,18100,17450,18.04M,1.14%
06/07/2023,17500,17700,17900,17200,8.69M,-1.13%
07/07/2023,18400,17400,18450,17200,15.39M,5.14%
10/07/2023,18800,18550,18900,18400,11.24M,2.17%
11/07/2023,18650,18750,18950,18550,11.05M,-0.80%
12/07/2023,18600,18750,18800,18250,8.86M,-0.27%
13/07/2023,18650,18900,18950,18600,5.10M,0.27%
14/07/2023,19350,18850,19350,18700,14.63M,3.75%
17/07/2023,19450,19550,19800,19300,6.97M,0.52%
18/07/2023,19100,19400,19400,19050,8.96M,-1.80%
19/07/2023,19050,19200,19300,18900,10.62M,-0.26%
20/07/2023,19200,19000,19300,18800,8.88M,0.79%
21/07/2023,19700,19300,19800,19200,8.24M,2.60%
24/07/2023,19600,19750,19900,19450,7.56M,-0.51%
25/07/2023,19600,19600,19750,19400,7.86M,0.00%
26/07/2023,19650,19600,20100,19500,8.40M,0.26%
27/07/2023,19650,19650,19800,19200,7.43M,0.00%
28/07/2023,19800,19750,20150,19500,8.54M,0.76%
31/07/2023,19700,20250,20250,19300,10.70M,-0.51%
01/08/2023,19050,19700,19700,19050,12.10M,-3.30%
02/08/2023,19200,19000,19400,18800,6.25M,0.79%
03/08/2023,18850,19200,19200,18650,12.37M,-1.82%
04/08/2023,19250,18850,19250,18800,6.24M,2.12%
07/08/2023,19250,19400,19450,19100,7.52M,0.00%
08/08/2023,19250,19350,19550,19200,9.89M,0.00%
09/08/2023,19550,19250,19600,18950,10.50M,1.56%
10/08/2023,19000,19600,19600,19000,5.53M,-2.81%
11/08/2023,19500,19100,19700,18650,10.06M,2.63%
14/08/2023,20300,19700,20500,19600,17.78M,4.10%
15/08/2023,20400,20400,20500,20000,7.74M,0.49%
16/08/2023,20300,20400,20400,20000,6.03M,-0.49%
17/08/2023,20000,20400,20650,20000,15.88M,-1.48%
18/08/2023,18600,19750,19850,18600,15.78M,-7.00%
21/08/2023,17700,18400,18600,17700,10.04M,-4.84%
22/08/2023,17900,17800,18100,16900,9.77M,1.13%
23/08/2023,17900,18200,18200,17900,4.14M,0.00%
24/08/2023,18400,17900,18400,17750,5.75M,2.79%
25/08/2023,18100,18400,18450,18050,6.89M,-1.63%
28/08/2023,18600,18200,18600,18150,6.38M,2.76%
29/08/2023,18400,18700,18750,18300,5.20M,-1.08%
30/08/2023,18800,18400,18900,18300,7.17M,2.17%
31/08/2023,19300,19000,19500,19000,10.37M,2.66%
05/09/2023,19800,19600,19900,19400,12.00M,2.59%
06/09/2023,21150,19900,21150,19550,21.03M,6.82%
07/09/2023,20900,21350,21450,20800,12.06M,-1.18%
08/09/2023,21850,20900,21950,20700,16.08M,4.55%
11/09/2023,21000,22000,22000,21000,15.85M,-3.89%
12/09/2023,21750,21000,21800,20750,12.52M,3.57%
13/09/2023,22050,21850,22800,21250,16.99M,1.38%
14/09/2023,21300,22050,22100,21000,11.95M,-3.40%
15/09/2023,21500,21350,22000,20900,10.24M,0.94%
18/09/2023,21550,21500,22200,21400,11.57M,0.23%
19/09/2023,22700,21850,22700,21000,14.73M,5.34%
20/09/2023,22850,22700,22950,22500,8.01M,0.66%
21/09/2023,22400,22850,23650,22400,17.77M,-1.97%
22/09/2023,20850,21500,21850,20850,27.47M,-6.92%
25/09/2023,19400,20350,21000,19400,13.53M,-6.95%
26/09/2023,18850,18800,19900,18800,9.39M,-2.84%
27/09/2023,19750,19000,19750,18600,6.86M,4.77%
28/09/2023,19900,19900,19950,19100,6.80M,0.76%
29/09/2023,19750,20100,20250,19600,4.91M,-0.75%
02/10/2023,19900,19750,20150,19550,4.30M,0.76%
03/10/2023,18550,19500,19550,18550,11.66M,-6.78%
04/10/2023,19200,17800,19400,17800,7.73M,3.50%
05/10/2023,18600,19350,19450,18550,5.60M,-3.13%
06/10/2023,19150,18600,19150,18300,5.01M,2.96%
09/10/2023,19950,19300,19950,19050,9.84M,4.18%
10/10/2023,19950,20200,20350,19950,7.60M,0.00%
11/10/2023,20500,19950,20500,19850,7.16M,2.76%
12/10/2023,20300,20600,20850,20100,7.10M,-0.98%
13/10/2023,20550,19950,20550,19800,7.25M,1.23%
16/10/2023,19900,20600,20800,19900,8.19M,-3.16%
17/10/2023,18600,20100,20250,18600,7.38M,-6.53%
18/10/2023,18050,19000,19000,17300,12.44M,-2.96%
19/10/2023,17850,17800,18250,17250,5.34M,-1.11%
20/10/2023,18400,17800,18500,17500,6.10M,3.08%
23/10/2023,18500,18500,18700,18050,5.46M,0.54%
24/10/2023,18650,18550,18650,18150,4.32M,0.81%
25/10/2023,18600,18700,19300,18450,5.02M,-0.27%
26/10/2023,17300,18100,18600,17300,10.71M,-6.99%
27/10/2023,18000,17650,18050,17150,4.83M,4.05%
30/10/2023,18000,18000,18700,17950,7.30M,0.00%
31/10/2023,17500,18000,18250,17400,6.81M,-2.78%
01/11/2023,17900,17600,17900,17250,5.63M,2.29%
02/11/2023,19100,18150,19150,18100,10.48M,6.70%
03/11/2023,19250,19100,19450,18750,9.84M,0.79%
06/11/2023,19500,19250,19500,19150,7.83M,1.30%
07/11/2023,19300,19350,19700,19050,7.86M,-1.03%
